epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,36.2572,0.47508,0.68309,0.88704,0.72907,0.66304,0.81588,0.76854,0.38057,1.64583,0.80644,0.000586286,0.000586286,0.000586286
122,36.5332,0.48541,0.6856,0.96474,0.82524,0.79219,0.91967,0.85249,0.39078,1.28584,0.8221,0.000584763,0.000584763,0.000584763
123,36.8658,0.57626,0.73612,0.93089,0.78029,0.91207,0.95282,0.89517,0.39491,1.12461,0.83426,0.00058324,0.00058324,0.00058324
124,37.145,0.49977,0.68439,0.88707,0.75038,0.90778,0.9666,0.91415,0.35981,1.01814,0.81475,0.000581718,0.000581718,0.000581718
125,37.428,0.42558,0.64067,0.86361,0.79684,0.87207,0.96432,0.89055,0.38453,0.97689,0.82221,0.000580195,0.000580195,0.000580195
126,37.7315,0.42577,0.57857,0.85062,0.82327,0.86175,0.96616,0.86871,0.44891,1.0234,0.85802,0.000578672,0.000578672,0.000578672
127,38.0082,0.47092,0.65126,0.8962,0.78927,0.85968,0.92761,0.82952,0.4784,1.16611,0.87729,0.00057715,0.00057715,0.00057715
128,38.2932,0.47097,0.62452,0.87766,0.79203,0.84285,0.86501,0.77231,0.45045,1.32514,0.86218,0.000575627,0.000575627,0.000575627
129,38.6293,0.45396,0.65217,0.90083,0.78179,0.75101,0.83268,0.76047,0.42413,1.51762,0.85202,0.000574105,0.000574105,0.000574105
130,38.9103,0.40073,0.63254,0.9112,0.75249,0.68048,0.7796,0.72345,0.40512,1.66472,0.83777,0.000572582,0.000572582,0.000572582
131,39.1955,0.4286,0.65612,0.93499,0.7651,0.65601,0.82243,0.76005,0.41114,1.79506,0.83593,0.000571059,0.000571059,0.000571059
132,39.4825,0.52239,0.7848,0.87452,0.82575,0.64552,0.84078,0.78065,0.42517,1.87042,0.83894,0.000569537,0.000569537,0.000569537
133,39.7701,0.47123,0.74596,0.83856,0.8046,0.62907,0.84421,0.78084,0.41817,1.94919,0.84082,0.000568014,0.000568014,0.000568014
134,40.0628,0.47594,0.66067,0.89683,0.79654,0.63366,0.79436,0.73377,0.40938,2.00491,0.84337,0.000566492,0.000566492,0.000566492
135,40.3504,0.3744,0.58407,0.86601,0.77443,0.66127,0.81419,0.7538,0.42114,1.93828,0.85325,0.000564969,0.000564969,0.000564969
136,40.75,0.38071,0.5699,0.81457,0.79711,0.69072,0.80935,0.75291,0.41451,1.76602,0.85416,0.000563446,0.000563446,0.000563446
137,41.0849,0.44338,0.64152,0.82808,0.77722,0.69223,0.78933,0.73735,0.38541,1.60331,0.84368,0.000561924,0.000561924,0.000561924
138,41.4114,0.41507,0.62559,0.86786,0.77031,0.72938,0.81627,0.7676,0.36279,1.51611,0.8284,0.000560401,0.000560401,0.000560401
139,41.695,0.41314,0.53196,0.90864,0.76924,0.74262,0.86005,0.80773,0.36296,1.49162,0.81893,0.000558878,0.000558878,0.000558878
140,41.9761,0.39288,0.58546,0.8592,0.79672,0.70703,0.88257,0.81518,0.3892,1.617,0.82606,0.000557356,0.000557356,0.000557356
141,42.2587,0.46155,0.67662,0.85837,0.84877,0.70411,0.86587,0.79656,0.41584,1.61537,0.83498,0.000555833,0.000555833,0.000555833
142,42.5417,0.45983,0.66939,0.88587,0.85525,0.71805,0.88896,0.82675,0.41212,1.50897,0.83326,0.000554311,0.000554311,0.000554311
143,42.8224,0.42187,0.65484,0.86361,0.82514,0.75603,0.94012,0.87695,0.3997,1.35812,0.83176,0.000552788,0.000552788,0.000552788
144,43.1657,0.38005,0.5464,0.87228,0.83418,0.80533,0.97445,0.90728,0.38581,1.13918,0.82984,0.000551265,0.000551265,0.000551265
145,43.4617,0.41329,0.55073,0.84685,0.89044,0.84039,0.98256,0.92797,0.34728,0.9542,0.82126,0.000549743,0.000549743,0.000549743
146,43.7438,0.4056,0.61079,0.92723,0.83829,0.8734,0.99246,0.94284,0.32804,0.84849,0.81956,0.00054822,0.00054822,0.00054822
147,44.0415,0.39525,0.53212,0.88785,0.87936,0.85086,0.995,0.95402,0.32655,0.83101,0.81981,0.000546697,0.000546697,0.000546697
148,44.343,0.40311,0.51902,0.8829,0.86763,0.82703,0.99246,0.95331,0.31216,0.83993,0.81156,0.000545175,0.000545175,0.000545175
149,44.6366,0.36776,0.54548,0.88437,0.75993,0.91106,0.98692,0.94017,0.32944,0.89063,0.81902,0.000543652,0.000543652,0.000543652
150,44.9154,0.39395,0.55075,0.85414,0.73887,0.91623,0.98249,0.92516,0.35604,0.99681,0.83596,0.00054213,0.00054213,0.00054213
151,45.2416,0.34136,0.56485,0.83327,0.70646,0.90142,0.98535,0.92146,0.36523,1.09174,0.84004,0.000540607,0.000540607,0.000540607
152,45.5246,0.49398,0.74479,0.90046,0.8487,0.8496,0.98426,0.92759,0.36163,0.94829,0.83303,0.000539084,0.000539084,0.000539084
153,45.8124,0.39609,0.55848,0.86872,0.78498,0.91493,0.9562,0.90977,0.35608,0.94429,0.82656,0.000537562,0.000537562,0.000537562
154,46.1418,0.40457,0.55881,0.92247,0.77519,0.8995,0.9381,0.88756,0.33958,1.01986,0.81973,0.000536039,0.000536039,0.000536039
155,46.4728,0.40829,0.51809,0.89439,0.86543,0.8197,0.9286,0.88425,0.33483,1.12262,0.81796,0.000534517,0.000534517,0.000534517
156,46.8074,0.3908,0.57687,0.88339,0.8573,0.85458,0.92229,0.88025,0.33419,1.19759,0.8174,0.000532994,0.000532994,0.000532994
157,47.0907,0.41311,0.58313,0.89484,0.80563,0.86342,0.91972,0.88062,0.33069,1.22841,0.81324,0.000531471,0.000531471,0.000531471
158,47.4517,0.45542,0.68685,0.82936,0.83451,0.91891,0.95639,0.92039,0.32429,1.10666,0.8161,0.000529949,0.000529949,0.000529949
159,47.7263,0.39213,0.60545,0.85721,0.85757,0.99125,0.995,0.95096,0.32519,0.90481,0.81772,0.000528426,0.000528426,0.000528426
160,47.9989,0.37422,0.61332,0.81453,0.86241,1,0.995,0.92217,0.37729,0.81786,0.84095,0.000526903,0.000526903,0.000526903
161,48.2785,0.45615,0.64974,0.88521,0.9077,0.98788,0.995,0.91285,0.4096,0.8068,0.85371,0.000525381,0.000525381,0.000525381
162,48.5651,0.44019,0.63338,0.93708,0.92868,1,0.995,0.94504,0.36079,0.74516,0.83389,0.000523858,0.000523858,0.000523858
163,48.8499,0.40573,0.55573,0.8796,0.94044,0.9935,0.995,0.9532,0.31893,0.64811,0.81756,0.000522336,0.000522336,0.000522336
164,49.1881,0.43115,0.54938,0.86414,0.94774,0.994,0.995,0.95002,0.34132,0.55738,0.8295,0.000520813,0.000520813,0.000520813
165,49.4721,0.37054,0.59453,0.90336,0.96287,0.99283,0.995,0.92795,0.36941,0.49456,0.84244,0.00051929,0.00051929,0.00051929
166,49.7567,0.44724,0.50929,0.89024,0.92291,0.9457,0.99246,0.95163,0.33476,0.51603,0.82374,0.000517768,0.000517768,0.000517768
167,50.0405,0.34907,0.5331,0.86638,0.8675,0.9468,0.97404,0.93353,0.33368,0.61644,0.81956,0.000516245,0.000516245,0.000516245
168,50.3201,0.36956,0.48991,0.84669,0.85964,0.94717,0.97024,0.91099,0.41127,0.6816,0.84863,0.000514722,0.000514722,0.000514722
169,50.6087,0.38647,0.45752,0.89902,0.85507,0.94505,0.96975,0.90477,0.40989,0.72847,0.84537,0.0005132,0.0005132,0.0005132
170,50.8987,0.40519,0.51163,0.89106,0.88279,0.93634,0.95887,0.9163,0.35276,0.75547,0.82231,0.000511677,0.000511677,0.000511677
171,51.257,0.449,0.5599,0.82931,0.91515,0.9179,0.9803,0.94203,0.31524,0.71902,0.81197,0.000510155,0.000510155,0.000510155
172,51.5965,0.52069,0.79105,1.03346,0.90776,0.96694,0.995,0.95613,0.32328,0.66899,0.8175,0.000508632,0.000508632,0.000508632
173,51.9373,0.34682,0.50412,0.88573,0.93298,0.97775,0.995,0.95284,0.32306,0.53412,0.81741,0.000507109,0.000507109,0.000507109
174,52.2118,0.39116,0.54051,0.86354,0.97663,0.96291,0.995,0.95603,0.3163,0.48144,0.81344,0.000505587,0.000505587,0.000505587
175,52.4908,0.35739,0.5199,0.87613,0.96859,0.96338,0.995,0.95285,0.31179,0.44409,0.81133,0.000504064,0.000504064,0.000504064
176,52.7834,0.45833,0.62923,0.85479,0.96152,0.96413,0.995,0.95857,0.31033,0.43376,0.8157,0.000502541,0.000502541,0.000502541
177,53.071,0.31444,0.56267,0.82695,0.96828,0.96421,0.995,0.9592,0.32712,0.43701,0.82401,0.000501019,0.000501019,0.000501019
178,53.3542,0.40188,0.5646,0.87085,0.97432,0.9645,0.995,0.96525,0.31559,0.43898,0.8201,0.000499496,0.000499496,0.000499496
